serie_id,componente_pw,damage_code_pw,score,nivel_alerta,razones,costo_proj_6m,fallas_proj_6m,c1_desviacion,c2_cusum,c3_engine_date,c4_if,c5_error_prev,c6_crecimiento,c7_costo
888G3||Throttle valve control part||ELECTRICAL FAULT,8,8,30.07857262807425,BAJA,Cohorte=1.00x | ErrFcPrev>50%,5454.237129522801,21.753428506851197,0.0,1.7628800971510885e-09,1.0,0.13374422107337938,0.9835675954692447,0.225019606645177,0.03362620045754819
"888G3||Oil separator||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",8,8,29.598793369637473,BAJA,Cohorte=1.00x | IF=anomalía,41995.851882881165,161.51008338928222,3.517922810948741e-08,2.7080235008371493e-07,1.0,0.6659584805297502,0.09054177742005251,0.0,0.29650948105054115
888evo4||Ignition coil||ELECTRICAL FAULT,8,8,29.145959597500397,BAJA,Cohorte=1.00x | ErrFcPrev>50%,2620.798474941969,24.908981370925904,6.7084226809886056e-09,4.618010785112967e-08,1.0,0.21166161485887844,1.0,0.030479373396909155,0.022744837340770097
211evo2||Oil separator||LEAKING,2,1,28.72230932750185,BAJA,Cohorte=1.00x | ErrFcPrev>50%,10668.357935738562,31.21502161026001,2.5579086111884944e-08,9.74273117732603e-08,1.0,0.18505431303899014,1.0,0.0,0.07204796757071022
"888G3||Ignition coil||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",8,8,28.659065293164893,BAJA,Cohorte=1.00x | ErrFcPrev>50%,1628.8629621505736,20.184175491333008,0.0,0.0,1.0,0.10007215906754181,0.9955988129618994,0.15073370958648197,0.024130743044988145
"211evo2||Engine Oil||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2,1,28.35243771990678,BAJA,Cohorte=1.00x,8880.829955108644,53.24557800292969,0.0,0.0,1.0,0.4148120759670746,0.13459436252217674,0.3855117105181275,0.04106853462840195
888evo4||ACF valve||ELECTRICAL FAULT,8,8,28.067092015138943,BAJA,Cohorte=1.00x | ErrFcPrev>50%,2811.7500992231367,19.554559421539306,1.496776099056054e-08,9.529663059450563e-09,1.0,0.14803104372555365,1.0,0.023488579976615687,0.033587605149498684
888evo4||Oil separator||LEAKING,8,8,28.06669355917156,BAJA,IF=anomalía | CostoAlto,180662.6463075256,891.500845336914,7.189450561342794e-08,2.261490214643373e-07,0.0,1.0,0.30666880505990635,0.0,1.0
"211evo2||Impulse sender for camshaft||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2,1,27.952673619440922,BAJA,Cohorte=1.00x | ErrFcPrev>50%,2264.8512282385823,16.724643540382385,0.0,5.569086365613291e-08,1.0,0.2803728269766219,0.8033144722592381,0.0,0.019148729476302705
"211evo2||Oil separator||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2,1,27.718056195484593,BAJA,Cohorte=1.00x,33364.086499702455,111.80244789123535,3.345445106437338e-08,1.2524159861553845e-07,1.0,0.4358370563554187,0.32112987215081257,0.03611945603182635,0.2080113900143295
"888evo4||Oil pressure switch||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",8,8,27.67187290769073,BAJA,Cohorte=1.00x | ErrFcPrev>50%,2044.9869042835237,18.29311122894287,0.0,2.4836201002397463e-08,1.0,0.16687279739933147,0.9551076440175584,0.0,0.03549480808436169
"888evo4||Oil separator||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",8,8,27.41338320281079,BAJA,IF=anomalía | CostoAlto,208834.62707523347,932.609700012207,4.9322412156103847e-08,3.12464016438724e-07,0.0,1.0,0.24133765920102487,0.0,1.0
211evo2||Fuel pressure sender||ELECTRICAL FAULT,2,1,26.98960265138224,BAJA,Cohorte=1.00x | IF=anomalía,13376.110555425645,87.25162620544434,1.0252300103304518e-08,2.9145067443405085e-07,1.0,0.6522706217174051,0.016563234829045898,0.0,0.09192053534221956
"888evo4||Ignition coil||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",8,8,26.81521945103631,BAJA,Cohorte=1.00x | ErrFcPrev>50%,6780.341922508239,55.72731094360351,1.3788997234434033e-08,2.4134595442089397e-07,1.0,0.32476140009052407,0.5900036297160185,0.0,0.04927934154126147
211evo2||Coolant pump seals||LEAKING,2,1,26.37383068565064,BAJA,Cohorte=1.00x,4874.646645205498,11.407752323150635,0.0,0.0,1.0,0.15532051404284614,0.4442893421007698,0.34279963263799035,0.022111616782334212
"888G3||High pressure pump||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",8,8,26.32880913242991,BAJA,Cohorte=1.00x | ErrFcPrev>50%,8115.245436487198,17.4154372215271,0.0,0.0,1.0,0.0647135894218419,0.794942687009071,0.12958860239277145,0.09052350168182839
211evo2||Gas pressore sensor||ELECTRICAL FAULT,2,1,26.2841279524045,BAJA,Crec=1.8x,1229.318009752035,12.825435678164165,0.4739336492890963,0.3333333316666667,0.0,0.02973897689118159,0.22406322731261863,0.6697191021331735,0.0028288613435275525
"211evo2||Turbocharger||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2,1,26.204203865245084,BAJA,Cohorte=1.00x,44681.627850733756,45.04060144424439,2.236259306991227e-09,8.884691350361774e-09,1.0,0.1835290900293855,0.3860742190792736,0.1246458700330994,0.3409645623632465
888evo4||Cylinder head||LEAKING,8,8,26.170038167530596,BAJA,IF=anomalía | CostoAlto,148329.15029914858,748.796760559082,3.604783771152368e-08,1.1472157149355098e-07,0.0,1.0,0.11898095304018726,0.0,0.9975282313979601
888G3||Ignition coil||ELECTRICAL FAULT,8,8,25.87271092574341,BAJA,Cohorte=1.00x,1129.0991549048424,13.21975359916687,0.0,0.0,1.0,0.08114903367992098,0.48319062324446754,0.3773174554308881,0.0166827069461779
"211evo2||Cylinder block||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2,1,25.677269296361683,BAJA,IF=anomalía | CostoAlto,562360.3703285408,103.98771629333496,1.2300808860346696e-08,1.611201305980778e-07,0.0,0.8381332969096235,0.2838963839921001,0.04916968856654589,1.0
888G3||Oil separator||LEAKING,8,8,25.627562287520895,BAJA,Cohorte=1.00x,24371.66213023758,77.66127758026123,6.745788227583434e-08,9.550345024392395e-08,1.0,0.4048759822240958,0.20393042527404814,0.0,0.21317040859387906
211evo2||Cylinder head gasket||LEAKING,2,1,25.612410324359885,BAJA,IF=anomalía | CostoAlto,933704.6181851348,479.11403503417966,4.785825333369884e-08,3.415987136868041e-07,0.0,1.0,0.06124032184179723,0.0,1.0
