serie_id,score,nivel_alerta,c1_desviacion,c2_cusum,c3_engine_date,c4_if,c5_error_prev,c6_crecimiento,c7_costo,razones,cusum_final,z_score_reciente,aceleracion_3m,cohorte_ratio_max,if_score_reciente,fecha_calculo
"888evo4||Camshaft||EXCESSIVE PLAY (LOOSE, WORN, SLACK)",4.480745072640397,BAJA,0.0,0.0,0.0,0.09118103929076556,0.05430631033786196,0.1887508460473394,0.015324268593836236,Normal,0.0,0.0,1.0276789547548596e-16,1.0,0.06875695670732995,2026-05-14 05:54
888G3||Sump upper part||LEAKING,4.4709091383420665,BAJA,0.0,3.047378456480545e-09,0.0,0.04838563490329317,0.13733690476239327,0.17722152793157947,0.018540738416297917,Normal,0.9142135323730958,0.0,0.5000000000000002,1.0,0.036486193074565354,2026-05-14 05:54
"888G3||Oil separator||TORN, BROKEN, ELECTRICAL OPEN CIRCUIT",4.465791071029349,BAJA,0.0,0.0,0.0,0.024862359869069154,0.07089337404340473,0.2759598136432245,0.0028349311378038063,Normal,0.0,0.0,0.0,1.0,0.018747978905004348,2026-05-14 05:54
888G3||Variable intake manifold flap potentiometer||ELECTRICAL FAULT,4.445701184864724,BAJA,0.0,3.047378456480545e-09,0.0,0.108297986099102,0.09760921488741778,0.13336249522546656,0.003524159343425128,Normal,0.9142135323730958,0.0,0.5000000000000002,1.0,0.08166434600467536,2026-05-14 05:54
"888evo5||Oil level sensor||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",4.443993545022167,BAJA,0.0,0.0,0.0,0.031040020219520674,0.007935717481049466,0.31740844289273895,0.0035068389708691507,Normal,0.0,0.0,0.0,1.0,0.023406372015814192,2026-05-14 05:54
888evo5||Spark plug||ELECTRICAL FAULT,4.429764741945866,BAJA,0.0,1.3807118314805418e-09,0.0,0.08029590772192469,0.04583664765076963,0.20969967048328464,0.011246470439152775,Normal,0.4142135473730948,-0.19245008750765288,1.0000000000000002,1.0,0.06054879713979385,2026-05-14 05:54
888evo4||Fuel distributor||LEAKING,4.4216705844598785,BAJA,0.0,0.0,0.0,0.05544966139072628,0.019939351436244018,0.2728055846437689,0.0007457263412331217,Normal,0.0,0.0,0.0,1.0,0.041812968982734455,2026-05-14 05:54
"888evo5||Engine wiring loom||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",4.391139571809651,BAJA,0.0,0.0,0.0,0.09922297374482984,0.017788158325991094,0.18759335252251658,0.0344184005771793,Normal,0.0,0.0,1.1595000242635226e-16,1.0,0.07482114443103012,2026-05-14 05:54
"888G3||Cold start valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",4.326412399622375,BAJA,0.0,0.0,0.0,0.017209977644231506,0.13439944565721812,0.22302461601209853,0.0016941163691345064,Normal,0.0,0.0,0.0,1.0,0.01297754113160654,2026-05-14 05:54
"888G3||Chain tensioner||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",4.317606796216005,BAJA,0.0,0.0,0.0,0.03268702908803117,0.05324303318709298,0.2546813552332567,0.021665088381183115,Normal,0.0,0.0,1.0276789547548596e-16,1.0,0.024648333265100297,2026-05-14 05:54
888evo4||Cylinder head cover gasket||LEAKING,4.292470640371572,BAJA,0.0,0.0,0.0,0.07779111564227788,0.04908640194676229,0.18119630328231523,0.03810025194968045,Normal,0.0,-0.40824828546386294,0.5000000000000002,1.0,0.05866000664211216,2026-05-14 05:54
888evo4||Variable intake manifold flap potentiometer||ELECTRICAL FAULT,4.286720224773402,BAJA,0.0,3.047378456480545e-09,0.0,0.09452151447222318,0.06491465380209471,0.16690294921294085,0.0034840619145698735,Normal,0.9142135323730958,-0.33333332666666693,0.5000000000000002,1.0,0.07127591140690259,2026-05-14 05:54
"888evo4||Dipstick||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",4.271908309291303,BAJA,6.088044127152438e-08,6.256133026351443e-08,0.0,0.1961553373152615,0.07745326978295407,0.0,0.02034156667369323,Normal,18.768398985212333,4.281924369430576,2.000000000000001,1.0,0.1479150066790591,2026-05-14 05:54
888G3||Activated charcoal filter pipe||ELECTRICAL FAULT,4.255458036825422,BAJA,0.0,0.0,0.0,0.035941384054507496,0.001301552996550419,0.302384010331711,0.00035385674409495703,Normal,0.0,0.0,0.0,1.0,0.027102347227660584,2026-05-14 05:54
"888G3||Impulse sender for camshaft||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",4.236378330741186,BAJA,0.0,3.047378456480545e-09,0.0,0.056592521363173366,0.14963019571862404,0.14653043999278548,0.0024547719518450816,Normal,0.9142135323730958,0.0,0.5000000000000002,1.0,0.04267476628466588,2026-05-14 05:54
"888G3||Chain for balance shaft||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",4.235292700048838,BAJA,0.0,0.0,0.0,0.06735651784288711,0.022825954652082637,0.22147472277645186,0.02553445961018853,Normal,0.0,0.0,0.0,1.0,0.05079158142200424,2026-05-14 05:54
"888G3||Knock sensor||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",4.216373550887457,BAJA,0.0,0.0,0.0,0.04352830625807842,0.12815409451997153,0.1786613744538258,0.006364363231812348,Normal,0.0,0.0,1.0276789547548596e-16,1.0,0.03282342351227404,2026-05-14 05:54
"888evo4||Chain tensioner||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",4.216295165917341,BAJA,2.128308562449827e-08,6.6666664083333415e-09,0.0,0.0505993067668441,0.18547884603917894,0.10112870509769513,0.035971685456894054,Normal,1.9999999125000028,1.4969103555897214,-0.9999999999999998,1.0,0.03815545832609468,2026-05-14 05:54
888evo4||Turbocharger||INEFFECTIVE,4.212473578817969,BAJA,0.0,0.0,0.0,0.08205412480922776,0.05247522204573007,0.17487145498897763,0.024292972092008033,Normal,0.0,0.0,1.0276789547548596e-16,1.0,0.061874617256499065,2026-05-14 05:54
211evo2||Engine Oil||REDUCTION,4.175286642923993,BAJA,0.0,0.0,0.0,0.05390830427588926,0.04157352621669105,0.23680829694606187,0.0001763305892778474,Normal,0.0,0.0,0.0,1.0,0.04065067663292443,2026-05-14 05:54
"888evo4||Pressure regulating valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",4.168348992780535,BAJA,0.0,0.0,0.0,0.16656892008751017,0.002655799158073438,0.07952883600759611,0.044471665952621774,Normal,0.0,0.0,-1.0,1.0,0.1256047541937102,2026-05-14 05:54
888G3||Impulse sender for camshaft||ELECTRICAL FAULT,4.166405411377428,BAJA,0.0,0.0,0.0,0.026261849882269386,0.05630451222782174,0.2600657932189501,0.004514915309153701,Normal,0.0,0.0,1.0276789547548596e-16,1.0,0.019803293419934365,2026-05-14 05:54
"211evo2||Camshaft seal||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",4.157899766872617,BAJA,0.0,0.0,0.0,0.03929336461809216,0.2046307854231426,0.10957653782360671,0.01608578253129295,Normal,0.0,-0.33333332666666693,-8.498442808297854e-17,1.0,0.02962997779961814,2026-05-14 05:54
211evo2||Coolant temperature sender||ELECTRICAL FAULT,4.0980516300606284,BAJA,1.610816731999838e-08,2.0643942814879518e-08,0.0,0.08482035924918879,0.2247976276330611,0.0,0.051016069092436354,Normal,6.193182813497941,1.1329411015065602,1.5000000000000004,1.0,0.0639605537967068,2026-05-14 05:54
"211evo2||Oil filler cap||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",4.093216335889017,BAJA,0.0,6.903558907402717e-10,0.0,0.025539289890073348,0.10978341799525222,0.21183922477850578,0.0023929397545965738,Normal,0.2071067661865477,-0.7071067661865482,0.5000000000000002,1.0,0.01925843204866347,2026-05-14 05:54
"888evo4||Chain tensioner||EXCESSIVE PLAY (LOOSE, WORN, SLACK)",4.07748657913431,BAJA,0.0,0.0,0.0,0.035182842831001634,0.059547427434327116,0.23914051572074982,0.0017772235018765517,Normal,0.0,0.0,0.0,1.0,0.026530353461511447,2026-05-14 05:54
888evo4||Knock sensor||ELECTRICAL FAULT,4.057222405312362,BAJA,0.0,0.0,0.0,0.039602221852454156,0.09791452147269411,0.1993125612863481,0.001636085457190319,Normal,0.0,0.0,0.0,1.0,0.02986287801283083,2026-05-14 05:54
211evo2||Oil filter||LEAKING,4.035442137865201,BAJA,0.0,0.0,0.0,0.06483676174806069,0.050556616003198836,0.19895333759918518,0.005026372115744731,Normal,0.0,-0.33333332916666686,0.5000000000000002,1.0,0.04889150699784095,2026-05-14 05:54
"211evo2||Turbocharger||STIFF (STICKS, JAMS,SEIZED)",4.005213552267895,BAJA,0.0,0.0,0.0,0.03957308782356554,0.21004651797083423,0.09747899486302887,0.007782242650323994,Normal,0.0,0.0,0.0,1.0,0.029840908893169704,2026-05-14 05:54
888G3||Engine wiring loom||ELECTRICAL FAULT,4.000616595396211,BAJA,3.3175354786729646e-08,2.166666630833334e-08,0.0,0.038740794003184746,0.28693273113584294,0.0,0.059086841559568955,Normal,6.499999860000003,2.333333286666667,1.5000000000000007,1.0,0.029213300449343855,2026-05-14 05:54
888evo4||Impulse sender for crankshaft||ELECTRICAL FAULT,3.9986666119037237,BAJA,1.1376287868317298e-08,2.0710676722208175e-09,0.0,0.08849466532480943,0.20738244576584575,0.02647892584581175,0.012835683596098687,Normal,0.6213202985596438,0.8001322467383218,-0.5000000000000003,1.0,0.06673124061642277,2026-05-14 05:54
888G3||Thermostat housing||ELECTRICAL FAULT,3.9860316901604014,BAJA,0.0,0.0,0.0,0.03073030819442631,0.10518992186542668,0.19801554131994123,0.004441342045199106,Normal,0.0,0.0,0.0,1.0,0.02317282722989389,2026-05-14 05:54
"888G3||Inlet Manifold||EXCESSIVE PLAY (LOOSE, WORN, SLACK)",3.89787770280442,BAJA,0.0,0.0,0.0,0.028833399980349783,0.08972522853773973,0.20879516189600467,0.0006144593761274641,Normal,0.0,0.0,0.0,1.0,0.02174242418812633,2026-05-14 05:54
"888evo4||Balance shaft||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",3.8609820335566805,BAJA,0.0,0.0,0.0,0.015350834308861517,0.01710733435332817,0.285016795881068,0.0010928695249922218,Normal,0.0,0.0,0.0,1.0,0.011575615481086987,2026-05-14 05:54
888G3||Camshaft adjuster||ELECTRICAL FAULT,3.792168235649139,BAJA,0.0,0.0,0.0,0.07287798674829991,0.04423547506142932,0.17392027926655856,0.0029805448893806103,Normal,0.0,0.0,1.0276789547548596e-16,1.0,0.05495515974314743,2026-05-14 05:54
"211evo2||Coolant pipe||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",3.785984817633063,BAJA,4.3669439846091275e-08,6.375805537868873e-08,0.0,0.05383073973942116,0.26632560896862956,0.0,0.025950516417851774,Normal,19.127416517969536,3.0714172691751065,1.0000000000000009,1.0,0.04059218748301515,2026-05-14 05:54
"888evo4||Fuel rail||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",3.7603878962659323,BAJA,0.0,0.0,0.0,0.020162299654194565,0.046128861596447183,0.24608057100231956,0.00042166676903977594,Normal,0.0,0.0,0.0,1.0,0.015203800869421191,2026-05-14 05:54
"888evo4||Camshaft adjuster||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",3.7447541928822874,BAJA,0.0,2.7429188071555787e-09,0.0,0.16546288905262524,0.05830412002574911,0.013865075710763843,0.02280786510355787,Normal,0.8228756380322955,-0.10976425854390741,0.5000000000000004,1.0,0.12477072851716531,2026-05-14 05:54
888evo4||Crankshaft bearing||NOISY,3.7385308355982234,BAJA,0.0,0.0,0.0,0.14823161430807857,0.07762101089009898,0.0,0.05529791043248723,Normal,0.0,0.0,0.0,1.0,0.11177712786467864,2026-05-14 05:54
888G3||Fuel distributor||LEAKING,3.735737695427041,BAJA,0.0,0.0,0.0,0.03773717251447662,0.00716319892648911,0.2493794524400367,0.003752543016950852,Normal,0.0,0.0,0.0,1.0,0.02845649881836443,2026-05-14 05:54
"888evo4||Engine wiring loom||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",3.729271925218266,BAJA,2.128308602997482e-08,5.03274574556073e-08,0.0,0.1305664807094737,0.08181579311723679,0.0,0.08643531130361133,Normal,15.098237161191003,1.4969103841082387,-0.4999999999999995,1.0,0.09845636693108961,2026-05-14 05:54
"888G3||Crankshaft vibration damper||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",3.7096562744616883,BAJA,0.0,0.0,0.0,0.051588083287931547,0.27806941423762216,0.000164123011296965,0.006249405006883292,Normal,0.0,0.0,-1.4999999999999998,1.0,0.03890106580087721,2026-05-14 05:54
"211evo2||Thermostat||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",3.6749570957684843,BAJA,7.739303863453915e-09,0.0,0.0,0.032102189833872974,0.11962058416333943,0.15495530509788466,0.00919377637481956,Normal,0.0,0.5443310383962622,-0.5,1.0,0.024207323077108562,2026-05-14 05:54
888G3||Turbocharger||ELECTRICAL FAULT,3.656256567641869,BAJA,0.0,0.0,0.0,0.06733778493748349,0.07220807780038954,0.13763207180382764,0.01723107300685282,Normal,0.0,0.0,1.0276789547548596e-16,1.0,0.05077745548556112,2026-05-14 05:54
211evo2||High pressure pump||NOISY,3.640760466231794,BAJA,0.0,0.0,0.0,0.08992445187935882,0.0475726389387251,0.13420815482588144,0.0032275671231081645,Normal,0.0,0.0,1.0276789547548596e-16,1.0,0.06780940086768272,2026-05-14 05:54
211evo2||Intake valve||NOISY,3.6210173027376786,BAJA,0.0,0.0,0.0,0.025208199011749102,0.07703210699644565,0.20172337328417764,0.0001845462704194439,Normal,0.0,0.0,0.0,1.0,0.019008766094379514,2026-05-14 05:54
"211evo2||Ignition coil||TORN, BROKEN, ELECTRICAL OPEN CIRCUIT",3.6196777106473115,BAJA,0.0,0.0,0.0,0.039419150916612036,0.29406512515916794,0.0,0.0011126116841533717,Normal,0.0,0.0,1.0276789547548596e-16,1.0,0.0297248295708743,2026-05-14 05:54
"888G3||Oil pressure sender||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",3.593361451905227,BAJA,0.0,0.0,0.0,0.01776921142398388,0.07211710430093536,0.21402405893780388,0.0002281384293125418,Normal,0.0,0.0,0.0,1.0,0.013399242979740711,2026-05-14 05:54
