serie_id,mes_dt,tipo,fallas_central,fallas_lo,fallas_hi,costo_central,costo_lo,costo_hi
211evo2||ACF valve||LEAKING,2024-10-01,Histórico,4.0,4.0,4.0,839.0899999999999,839.0899999999999,839.0899999999999
211evo2||ACF valve||LEAKING,2024-11-01,Histórico,3.0,3.0,3.0,553.62,553.62,553.62
211evo2||ACF valve||LEAKING,2024-12-01,Histórico,4.0,4.0,4.0,1138.15,1138.15,1138.15
211evo2||ACF valve||LEAKING,2025-01-01,Histórico,7.0,7.0,7.0,2290.37,2290.37,2290.37
211evo2||ACF valve||LEAKING,2025-02-01,Histórico,2.0,2.0,2.0,757.88,757.88,757.88
211evo2||ACF valve||LEAKING,2025-03-01,Histórico,6.0,6.0,6.0,1333.11,1333.11,1333.11
211evo2||ACF valve||LEAKING,2025-04-01,Histórico,2.0,2.0,2.0,384.95,384.95,384.95
211evo2||ACF valve||LEAKING,2025-05-01,Histórico,3.0,3.0,3.0,744.9200000000001,744.9200000000001,744.9200000000001
211evo2||ACF valve||LEAKING,2025-06-01,Histórico,6.0,6.0,6.0,1319.04,1319.04,1319.04
211evo2||ACF valve||LEAKING,2025-07-01,Histórico,16.0,16.0,16.0,3944.29,3944.29,3944.29
211evo2||ACF valve||LEAKING,2025-08-01,Histórico,20.0,20.0,20.0,4599.58,4599.58,4599.58
211evo2||ACF valve||LEAKING,2025-09-01,Histórico,31.0,31.0,31.0,8143.07,8143.07,8143.07
211evo2||ACF valve||LEAKING,2025-10-01,Histórico,34.0,34.0,34.0,9240.78,9240.78,9240.78
211evo2||ACF valve||LEAKING,2025-11-01,Histórico,20.0,20.0,20.0,5307.28,5307.28,5307.28
211evo2||ACF valve||LEAKING,2025-12-01,Forecast ML,26.384587097167966,0.0,56.13555808987985,6315.810536384582,0.0,13437.44921776499
211evo2||ACF valve||LEAKING,2026-01-01,Forecast ML,18.043865394592284,0.0,60.11809206625398,4319.250278830528,0.0,14390.768288359546
211evo2||ACF valve||LEAKING,2026-02-01,Forecast ML,17.161623191833495,0.0,68.69181652571835,4108.063551545143,0.0,16443.103580843832
211evo2||ACF valve||LEAKING,2026-03-01,Forecast ML,15.654872512817382,0.0,75.15681449824115,3747.385107755661,0.0,17990.662470516476
211evo2||ACF valve||LEAKING,2026-04-01,Forecast ML,14.994202804565429,0.0,81.5193963408936,3589.2372963428497,0.0,19513.70549910141
211evo2||ACF valve||LEAKING,2026-05-01,Forecast ML,12.625142288208007,0.0,85.49984057269563,3022.143435239792,0.0,20466.524337089017
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2024-02-01,Histórico,1.0,1.0,1.0,208.84,208.84,208.84
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2024-03-01,Histórico,4.0,4.0,4.0,733.24,733.24,733.24
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2024-04-01,Histórico,3.0,3.0,3.0,603.48,603.48,603.48
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2024-05-01,Histórico,8.0,8.0,8.0,1761.72,1761.72,1761.72
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2024-06-01,Histórico,9.0,9.0,9.0,2075.41,2075.41,2075.41
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2024-07-01,Histórico,15.0,15.0,15.0,2080.75,2080.75,2080.75
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2024-08-01,Histórico,18.0,18.0,18.0,3268.21,3268.21,3268.21
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2024-09-01,Histórico,18.0,18.0,18.0,3181.4300000000003,3181.4300000000003,3181.4300000000003
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2024-10-01,Histórico,35.0,35.0,35.0,6358.06,6358.06,6358.06
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2024-11-01,Histórico,22.0,22.0,22.0,4892.33,4892.33,4892.33
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2024-12-01,Histórico,52.0,52.0,52.0,15599.07,15599.07,15599.07
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-01-01,Histórico,72.0,72.0,72.0,15673.8,15673.8,15673.8
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-02-01,Histórico,66.0,66.0,66.0,14026.1,14026.1,14026.1
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-03-01,Histórico,49.0,49.0,49.0,11359.75,11359.75,11359.75
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-04-01,Histórico,44.0,44.0,44.0,10711.13,10711.13,10711.13
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-05-01,Histórico,31.0,31.0,31.0,6378.59,6378.59,6378.59
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-06-01,Histórico,29.0,29.0,29.0,6323.41,6323.41,6323.41
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-07-01,Histórico,38.0,38.0,38.0,9045.42,9045.42,9045.42
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-08-01,Histórico,54.0,54.0,54.0,13466.16,13466.16,13466.16
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-09-01,Histórico,73.0,73.0,73.0,17381.77,17381.77,17381.77
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-10-01,Histórico,101.0,101.0,101.0,25399.43,25399.43,25399.43
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-11-01,Histórico,77.0,77.0,77.0,14764.36,14764.36,14764.36
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2025-12-01,Forecast ML,70.52537155151367,40.77440055880179,100.27634254422556,14809.2701452446,8562.012501339994,21056.527789149204
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2026-01-01,Forecast ML,68.6917610168457,26.617534345184012,110.7659876885074,14424.239437122345,5589.282949473465,23259.195924771226
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2026-02-01,Forecast ML,60.294438171386716,8.764244837501856,111.82463150527158,12660.927599418641,1840.3599522028273,23481.495246634455
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2026-03-01,Forecast ML,60.243665313720705,0.7417233282969349,119.74560729914447,12650.266060901644,155.75077309243187,25144.781348710854
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2026-04-01,Forecast ML,56.421563720703126,0.0,122.9467572570313,11847.682057891847,0.0,25816.974822617718
"211evo2||ACF valve||MECHANICAL FAULT,CRACKED, DEFORMED, DAMAGED",2026-05-01,Forecast ML,53.644650268554685,0.0,126.5193485530423,11264.571886642456,0.0,26567.16540591059
211evo2||ACF valve||NOISY,2025-05-01,Histórico,1.0,1.0,1.0,173.54,173.54,173.54
211evo2||ACF valve||NOISY,2025-06-01,Histórico,1.0,1.0,1.0,97.97,97.97,97.97
211evo2||ACF valve||NOISY,2025-07-01,Histórico,2.0,2.0,2.0,323.56,323.56,323.56
211evo2||ACF valve||NOISY,2025-08-01,Histórico,1.0,1.0,1.0,85.31,85.31,85.31
211evo2||ACF valve||NOISY,2025-09-01,Histórico,1.0,1.0,1.0,0.0,0.0,0.0
211evo2||ACF valve||NOISY,2025-10-01,Histórico,2.0,2.0,2.0,298.5,298.5,298.5
211evo2||ACF valve||NOISY,2025-11-01,Forecast ML,1.590714454650879,0.0,31.341685447362764,230.31954588890073,0.0,4537.9626359236545
211evo2||ACF valve||NOISY,2025-12-01,Forecast ML,2.0444204807281494,0.0,44.11864715238984,296.01164140462873,0.0,6387.9389211945245
211evo2||ACF valve||NOISY,2026-01-01,Forecast ML,2.1346702575683594,0.0,53.66486359145322,309.07890659332276,0.0,7770.135599406512
211evo2||ACF valve||NOISY,2026-02-01,Forecast ML,2.4743332862854004,0.0,61.97627527170917,358.2587165212631,0.0,8973.54489659077
211evo2||ACF valve||NOISY,2026-03-01,Forecast ML,2.883805513381958,0.0,69.40899904971013,417.5462002825737,0.0,10049.728972407529
211evo2||ACF valve||NOISY,2026-04-01,Forecast ML,2.949846029281616,0.0,75.82454431376924,427.1082065796852,0.0,10978.635771190648
211evo2||ACF valve||Repair as instructed,2024-11-01,Histórico,1.0,1.0,1.0,198.58,198.58,198.58
"211evo2||ACF valve||STIFF (STICKS, JAMS,SEIZED)",2024-07-01,Histórico,1.0,1.0,1.0,207.32,207.32,207.32
"211evo2||ACF valve||STIFF (STICKS, JAMS,SEIZED)",2024-08-01,Histórico,1.0,1.0,1.0,462.91,462.91,462.91
"211evo2||ACF valve||STIFF (STICKS, JAMS,SEIZED)",2024-09-01,Histórico,1.0,1.0,1.0,0.0,0.0,0.0
"211evo2||ACF valve||STIFF (STICKS, JAMS,SEIZED)",2024-12-01,Histórico,1.0,1.0,1.0,244.15,244.15,244.15
"211evo2||ACF valve||STIFF (STICKS, JAMS,SEIZED)",2025-01-01,Histórico,1.0,1.0,1.0,205.99,205.99,205.99
"211evo2||ACF valve||STIFF (STICKS, JAMS,SEIZED)",2025-04-01,Histórico,3.0,3.0,3.0,826.35,826.35,826.35
"211evo2||ACF valve||STIFF (STICKS, JAMS,SEIZED)",2025-08-01,Histórico,2.0,2.0,2.0,327.21000000000004,327.21000000000004,327.21000000000004
"211evo2||ACF valve||STIFF (STICKS, JAMS,SEIZED)",2025-09-01,Histórico,1.0,1.0,1.0,290.87,290.87,290.87
"211evo2||ACF valve||STIFF (STICKS, JAMS,SEIZED)",2025-10-01,Forecast ML,1.569354033470154,0.0,31.32032502618204,324.31485778677467,0.0,6472.50176828565
"211evo2||ACF valve||STIFF (STICKS, JAMS,SEIZED)",2025-11-01,Forecast ML,2.101015543937683,0.0,44.175242215599376,434.18536723244193,0.0,9129.03468006469
"211evo2||ACF valve||STIFF (STICKS, JAMS,SEIZED)",2025-12-01,Forecast ML,1.9931453466415405,0.0,53.5233386805264,411.89345161020753,0.0,11060.865555024184
"211evo2||ACF valve||STIFF (STICKS, JAMS,SEIZED)",2026-01-01,Forecast ML,1.8560429334640505,0.0,61.35798491888782,383.5605524150134,0.0,12679.934373412763
"211evo2||ACF valve||STIFF (STICKS, JAMS,SEIZED)",2026-02-01,Forecast ML,2.1903853178024293,0.0,68.7155788541306,452.654077850461,0.0,14200.41794810036
